Gene	Synonym	ENSG	Description	expression
PKD2L1	"PCL, PKD2L, PKDL, TRPP3"	ENSG00000107593	"Polycystin 2 like 1, transient receptor potential cation channel"	ElevBrain
PKIB	PRKACN2	ENSG00000135549	CAMP-dependent protein kinase inhibitor beta	ElevBrain
PKP4	p0071	ENSG00000144283	Plakophilin 4	ElevBrain
PLA2G4C	cPLA2-gamma	ENSG00000105499	Phospholipase A2 group IVC	ElevBrain
PLCB4		ENSG00000101333	Phospholipase C beta 4	ElevBrain
PLCH1	"DKFZp434C1372, KIAA1069, MGC117152, PLCeta1, PLCL3"	ENSG00000114805	Phospholipase C eta 1	ElevBrain
PLCH2	"KIAA0450, PLC-eta2, PLCeta2, PLCL4, RP3-395M20.1"	ENSG00000149527	Phospholipase C eta 2	ElevBrain
PLCL1	"PLC-L, PLCE, PLCL, PPP1R127, PRIP"	ENSG00000115896	Phospholipase C like 1 (inactive)	ElevBrain
PLCL2	"KIAA1092, PLCE2"	ENSG00000154822	Phospholipase C like 2	ElevBrain
PLCXD1	FLJ11323	ENSG00000182378	Phosphatidylinositol specific phospholipase C X domain containing 1	ElevBrain
PLCXD3		ENSG00000182836	Phosphatidylinositol specific phospholipase C X domain containing 3	ElevBrain
PLEKHA6	"KIAA0969, PEPP3"	ENSG00000143850	Pleckstrin homology domain containing A6	ElevBrain
PLEKHD1	UPF0639	ENSG00000175985	Pleckstrin homology and coiled-coil domain containing D1	ElevBrain
PLEKHG5	"GEF720, KIAA0720, Syx, Tech"	ENSG00000171680	Pleckstrin homology and RhoGEF domain containing G5	ElevBrain
PLEKHH1	KIAA1200	ENSG00000054690	"Pleckstrin homology, MyTH4 and FERM domain containing H1"	ElevBrain
PLLP	"PMLP, TM4SF11"	ENSG00000102934	Plasmolipin	ElevBrain
PLPP4	"DPPL2, PPAPDC1, PPAPDC1A"	ENSG00000203805	Phospholipid phosphatase 4	ElevBrain
PLSCR5		ENSG00000231213	Phospholipid scramblase family member 5	ElevBrain
PLXNB1	"KIAA0407, PLXN5, SEP"	ENSG00000164050	Plexin B1	ElevBrain
PLXNB3	"PLEXB3, PLEXR, PLXN6"	ENSG00000198753	Plexin B3	ElevBrain
PNCK	"CaMK1b, MGC45419"	ENSG00000130822	Pregnancy up-regulated nonubiquitous CaM kinase	ElevBrain
PNMA6A	"MGC15827, PNMA6C"	ENSG00000235961	PNMA family member 6A	ElevBrain
PNMA8A	"FLJ10781, KIAA1183L, PNMAL1"	ENSG00000182013	PNMA family member 8A	ElevBrain
PNOC	"N/OFQ, NOP, PPNOC"	ENSG00000168081	Prepronociceptin	ElevBrain
PNPLA5	"dJ388M5.4, GS2L"	ENSG00000100341	Patatin like phospholipase domain containing 5	ElevBrain
PODXL2	"endoglycan, PODLX2"	ENSG00000114631	Podocalyxin like 2	ElevBrain
POLB		ENSG00000070501	DNA polymerase beta	ElevBrain
POLR2J2	RPB11b1	ENSG00000228049	RNA polymerase II subunit J2	ElevBrain
POLR3G	"RPC32, RPC7"	ENSG00000113356	RNA polymerase III subunit G	ElevBrain
POU2F1	"OCT1, OTF1"	ENSG00000143190	POU class 2 homeobox 1	ElevBrain
POU4F3	"BRN3C, DFNA15, DFNA42, DFNA52"	ENSG00000091010	POU class 4 homeobox 3	ElevBrain
POU6F2	RPF-1	ENSG00000106536	POU class 6 homeobox 2	ElevBrain
PPEF1	"PPEF, PPP7CA"	ENSG00000086717	Protein phosphatase with EF-hand domain 1	ElevBrain
PPIAL4G		ENSG00000236334	Peptidylprolyl isomerase A like 4G	ElevBrain
PPIP5K1	"HISPPD2A, IPS1, KIAA0377, VIP1"	ENSG00000168781	Diphosphoinositol pentakisphosphate kinase 1	ElevBrain
PPM1H	"ARHCL1, FLJ13253, KIAA1157, NERPP-2C"	ENSG00000111110	"Protein phosphatase, Mg2+/Mn2+ dependent 1H"	ElevBrain
PPP1R16B	"ANKRD4, KIAA0823, TIMAP"	ENSG00000101445	Protein phosphatase 1 regulatory subunit 16B	ElevBrain
PPP1R1B	"DARPP-32, FLJ20940"	ENSG00000131771	Protein phosphatase 1 regulatory inhibitor subunit 1B	ElevBrain
PPP1R42	"dtr, LRRC67, TLLR"	ENSG00000178125	Protein phosphatase 1 regulatory subunit 42	ElevBrain
PPP2R2C	"B55gamma, IMYPNO, MGC33570, PR52, PR55G"	ENSG00000074211	Protein phosphatase 2 regulatory subunit Bgamma	ElevBrain
PPP2R5B	"B56B, B56beta, FLJ35411, PR61B"	ENSG00000068971	Protein phosphatase 2 regulatory subunit B'beta	ElevBrain
PPP3CA	"CALN, CALNA, CNA1, PPP2B"	ENSG00000138814	Protein phosphatase 3 catalytic subunit alpha	ElevBrain
PPP3R1	"CALNB1, CNB, CNB1"	ENSG00000221823	"Protein phosphatase 3 regulatory subunit B, alpha"	ElevBrain
PPP4R4	"CFAP14, KIAA1622, PP4R4"	ENSG00000119698	Protein phosphatase 4 regulatory subunit 4	ElevBrain
PRAG1	"DKFZp761P0423, NACK, PEAK2, PRAGMIN, SgK223"	ENSG00000275342	"PEAK1 related, kinase-activating pseudokinase 1"	ElevBrain
PRAM1	PML-RAR	ENSG00000133246	PML-RARA regulated adaptor molecule 1	ElevBrain
PRDM12		ENSG00000130711	PR/SET domain 12	ElevBrain
PRDM8	KMT8D	ENSG00000152784	PR/SET domain 8	ElevBrain
PREPL	KIAA0436	ENSG00000138078	Prolyl endopeptidase like	ElevBrain
PREX1	"KIAA1415, P-REX1"	ENSG00000124126	"Phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1"	ElevBrain
PRKACB	PKACb	ENSG00000142875	Protein kinase cAMP-activated catalytic subunit beta	ElevBrain
PRKCB	"PKCB, PRKCB1, PRKCB2"	ENSG00000166501	Protein kinase C beta	ElevBrain
PRKCE		ENSG00000171132	Protein kinase C epsilon	ElevBrain
PRKCZ	PKC2	ENSG00000067606	Protein kinase C zeta	ElevBrain
PRLH	PRH	ENSG00000071677	Prolactin releasing hormone	ElevBrain
PRLHR	"GPR10, PrRPR"	ENSG00000119973	Prolactin releasing hormone receptor	ElevBrain
PRLR		ENSG00000113494	Prolactin receptor	ElevBrain
PROKR2	"dJ680N4.3, GPR73b, GPR73L1, GPRg2, KAL3, PKR2"	ENSG00000101292	Prokineticin receptor 2	ElevBrain
PRPH	"NEF4, PRPH1"	ENSG00000135406	Peripherin	ElevBrain
PRR5L	"FLJ14213, PROTOR-2"	ENSG00000135362	Proline rich 5 like	ElevBrain
PRR7	MGC10772	ENSG00000131188	"Proline rich 7, synaptic"	ElevBrain
PRRG1	PRGP1	ENSG00000130962	Proline rich and Gla domain 1	ElevBrain
PRRG3	TMG3	ENSG00000130032	Proline rich and Gla domain 3	ElevBrain
PRRT2	"DKFZp547J199, DSPB3, DYT10, EKD1, FICCA, FLJ25513, ICCA, IFITMD1, PKC"	ENSG00000167371	Proline rich transmembrane protein 2	ElevBrain
PRSS56		ENSG00000237412	Serine protease 56	ElevBrain
PRTFDC1	HHGP	ENSG00000099256	Phosphoribosyl transferase domain containing 1	ElevBrain
PSD	"EFA6, EFA6A, KIAA2011, PSD1, TYL"	ENSG00000059915	Pleckstrin and Sec7 domain containing	ElevBrain
PSD3	"DKFZp761K1423, EFA6D, EFA6R, HCA67, KIAA0942"	ENSG00000156011	Pleckstrin and Sec7 domain containing 3	ElevBrain
PSRC1	DDA3	ENSG00000134222	Proline and serine rich coiled-coil 1	ElevBrain
PTCHD1	FLJ30296	ENSG00000165186	Patched domain containing 1	ElevBrain
PTCHD4	"C6orf138, dJ402H5.2, FLJ41841, PTCH53"	ENSG00000244694	Patched domain containing 4	ElevBrain
PTH2R	PTHR2	ENSG00000144407	Parathyroid hormone 2 receptor	ElevBrain
PTK2B	"CADTK, CAKB, FAK2, PTK, PYK2, RAFTK"	ENSG00000120899	Protein tyrosine kinase 2 beta	ElevBrain
PTPDC1	"FLJ37312, PTP9Q22"	ENSG00000158079	Protein tyrosine phosphatase domain containing 1	ElevBrain
PTPRD	"HPTP, PTPD"	ENSG00000153707	"Protein tyrosine phosphatase, receptor type D"	ElevBrain
PTPRN	"IA-2, ICA512"	ENSG00000054356	"Protein tyrosine phosphatase, receptor type N"	ElevBrain
PTPRN2	"IA-2beta, ICAAR, KIAA0387, phogrin"	ENSG00000155093	"Protein tyrosine phosphatase, receptor type N2"	ElevBrain
PTPRO	"GLEPP1, NPHS6, PTP-oc, PTP-U2, PTPU2"	ENSG00000151490	"Protein tyrosine phosphatase, receptor type O"	ElevBrain
PTPRQ	DFNB84	ENSG00000139304	"Protein tyrosine phosphatase, receptor type Q"	ElevBrain
PURG	"PURG-A, PURG-B"	ENSG00000172733	Purine rich element binding protein G	ElevBrain
PVALEF	AATK-AS1	ENSG00000225180	Parvalbumin like EF-hand containing	ElevBrain
PWWP2A	KIAA1935	ENSG00000170234	PWWP domain containing 2A	ElevBrain
PXK	"FLJ20335, Slob"	ENSG00000168297	PX domain containing serine/threonine kinase like	ElevBrain
PYDC1	"ASC2, POP1"	ENSG00000169900	Pyrin domain containing 1	ElevBrain
QDPR	"DHPR, PKU2, SDR33C1"	ENSG00000151552	Quinoid dihydropteridine reductase	ElevBrain
QKI	QK3	ENSG00000112531	"QKI, KH domain containing RNA binding"	ElevBrain
QRFPR	GPR103	ENSG00000186867	Pyroglutamylated RFamide peptide receptor	ElevBrain
R3HDM1	"KIAA0029, R3HDM"	ENSG00000048991	R3H domain containing 1	ElevBrain
R3HDML	dJ881L22.3	ENSG00000101074	R3H domain containing like	ElevBrain
RAB11FIP4	"FLJ00131, KIAA1821, MGC11316, RAB11-FIP4"	ENSG00000131242	RAB11 family interacting protein 4	ElevBrain
RAB15		ENSG00000139998	"RAB15, member RAS oncogene family"	ElevBrain
RAB26		ENSG00000167964	"RAB26, member RAS oncogene family"	ElevBrain
RAB27B		ENSG00000041353	"RAB27B, member RAS oncogene family"	ElevBrain
RAB33A	RabS10	ENSG00000134594	"RAB33A, member RAS oncogene family"	ElevBrain
RAB37		ENSG00000172794	"RAB37, member RAS oncogene family"	ElevBrain
RAB39A	RAB39	ENSG00000179331	"RAB39A, member RAS oncogene family"	ElevBrain
RAB39B	"MRX72, WSN"	ENSG00000155961	"RAB39B, member RAS oncogene family"	ElevBrain
RAB3B		ENSG00000169213	"RAB3B, member RAS oncogene family"	ElevBrain
RAB40B	"RAR, SEC4L"	ENSG00000141542	"RAB40B, member RAS oncogene family"	ElevBrain
RAB41		ENSG00000147127	"RAB41, member RAS oncogene family"	ElevBrain
RAC3		ENSG00000169750	Rac family small GTPase 3	ElevBrain
RADIL	"FLJ10324, KIAA1849, RASIP2"	ENSG00000157927	Rap associating with DIL domain	ElevBrain
RANBP3L	FLJ25422	ENSG00000164188	RAN binding protein 3 like	ElevBrain
RAP1GAP	"KIAA0474, RAP1GA1, RAP1GAP1, RAP1GAPII"	ENSG00000076864	RAP1 GTPase activating protein	ElevBrain
RAP1GAP2	"GARNL4, KIAA1039"	ENSG00000132359	RAP1 GTPase activating protein 2	ElevBrain
RAP2A	"K-REV, RAP2"	ENSG00000125249	"RAP2A, member of RAS oncogene family"	ElevBrain
RAPGEF4	"cAMP-GEFII, CGEF2"	ENSG00000091428	Rap guanine nucleotide exchange factor 4	ElevBrain
RASD2	"MGC:4834, Rhes, TEM2"	ENSG00000100302	RASD family member 2	ElevBrain
RASGEF1A	"CG4853, FLJ37817"	ENSG00000198915	RasGEF domain family member 1A	ElevBrain
RASGRF2	"GRF2, Ras-GRF2"	ENSG00000113319	Ras protein specific guanine nucleotide releasing factor 2	ElevBrain
RASGRP3	"CalDAG-GEFIII, GRP3, KIAA0846"	ENSG00000152689	RAS guanyl releasing protein 3	ElevBrain
RASSF2	"CENP-34, KIAA0168"	ENSG00000101265	Ras association domain family member 2	ElevBrain
RBFOX3	"FOX-3, HRNBP3, NeuN"	ENSG00000167281	RNA binding fox-1 homolog 3	ElevBrain
RCAN3	DSCR1L2	ENSG00000117602	RCAN family member 3	ElevBrain
RCOR2		ENSG00000167771	REST corepressor 2	ElevBrain
REEP2	"C5orf19, SGC32445, SPG72, Yip2d"	ENSG00000132563	Receptor accessory protein 2	ElevBrain
RELL2	"C5orf16, FLJ90583"	ENSG00000164620	RELT like 2	ElevBrain
REM2	FLJ38964	ENSG00000139890	RRAD and GEM like GTPase 2	ElevBrain
RFFL	"CARP-2, CARP2, fring, rififylin, RNF189, RNF34L"	ENSG00000092871	Ring finger and FYVE like domain containing E3 ubiquitin protein ligase	ElevBrain
RFTN2	"C2orf11, FLJ30574, Raftlin-2"	ENSG00000162944	Raftlin family member 2	ElevBrain
RFX3		ENSG00000080298	Regulatory factor X3	ElevBrain
RFX7	"FLJ12994, RFXDC2"	ENSG00000181827	Regulatory factor X7	ElevBrain
RGMA	"RGM, RGMa"	ENSG00000182175	Repulsive guidance molecule BMP co-receptor a	ElevBrain
RGS1	"1R20, BL34, IER1, IR20"	ENSG00000090104	Regulator of G protein signaling 1	ElevBrain
RGS11		ENSG00000076344	Regulator of G protein signaling 11	ElevBrain
RGS12		ENSG00000159788	Regulator of G protein signaling 12	ElevBrain
RGS14		ENSG00000169220	Regulator of G protein signaling 14	ElevBrain
RGS17	"RGS-17, RGSZ2"	ENSG00000091844	Regulator of G protein signaling 17	ElevBrain
RGS6		ENSG00000182732	Regulator of G protein signaling 6	ElevBrain
RGS7		ENSG00000182901	Regulator of G protein signaling 7	ElevBrain
RGS7BP	R7BP	ENSG00000186479	Regulator of G protein signaling 7 binding protein	ElevBrain
RGS8	"MGC119067, MGC119068, MGC119069"	ENSG00000135824	Regulator of G protein signaling 8	ElevBrain
RGS9	"MGC111763, MGC26458, PERRS, RGS9L"	ENSG00000108370	Regulator of G protein signaling 9	ElevBrain
RHBDL1	"RHBDL, RRP"	ENSG00000103269	Rhomboid like 1	ElevBrain
RHBDL3	"RHBDL4, VRHO"	ENSG00000141314	Rhomboid like 3	ElevBrain
RHEBL1	"FLJ25797, MGC34869, RHEB2"	ENSG00000167550	RHEB like 1	ElevBrain
RHOU	"ARHU, CDC42L1, DJ646B12.2, fJ646B12.2, FLJ10616, hG28K, WRCH-1, WRCH1"	ENSG00000116574	Ras homolog family member U	ElevBrain
RIBC2	"C22orf11, DKFZp566F0546, FLJ25720"	ENSG00000128408	RIB43A domain with coiled-coils 2	ElevBrain
RIMBP2	"KIAA0318, MGC15831, PPP1R133, RBP2, RIM-BP2"	ENSG00000060709	RIMS binding protein 2	ElevBrain
RIMKLA	"FAM80A, MGC47816, NAAGS-II, RP11-157D18.1"	ENSG00000177181	Ribosomal modification protein rimK like family member A	ElevBrain
RIMS2	"KIAA0751, OBOE, RAB3IP3, RIM2"	ENSG00000176406	Regulating synaptic membrane exocytosis 2	ElevBrain
RIMS4	"C20orf190, dJ781B1.3"	ENSG00000101098	Regulating synaptic membrane exocytosis 4	ElevBrain
RIPPLY2	"C6orf159, dJ237I15.1"	ENSG00000203877	Ripply transcriptional repressor 2	ElevBrain
RND1	"ARHS, Rho6, RHOS"	ENSG00000172602	Rho family GTPase 1	ElevBrain
RND2	"ARHN, Rho7, RhoN"	ENSG00000108830	Rho family GTPase 2	ElevBrain
RNF144A	"hUIP4, KIAA0161, RNF144, UBCE7IP4"	ENSG00000151692	Ring finger protein 144A	ElevBrain
RNF157	KIAA1917	ENSG00000141576	Ring finger protein 157	ElevBrain
RNF165	"ARKL2, RNF111L2"	ENSG00000141622	Ring finger protein 165	ElevBrain
RNF175	FLJ34190	ENSG00000145428	Ring finger protein 175	ElevBrain
RNF182	MGC33993	ENSG00000180537	Ring finger protein 182	ElevBrain
RNF208	DKFZP761H1710	ENSG00000212864	Ring finger protein 208	ElevBrain
RNF220	"C1orf164, FLJ10597"	ENSG00000187147	Ring finger protein 220	ElevBrain
RNFT2	"FLJ14627, TMEM118"	ENSG00000135119	"Ring finger protein, transmembrane 2"	ElevBrain
ROBO2	KIAA1568	ENSG00000185008	Roundabout guidance receptor 2	ElevBrain
ROGDI	FLJ22386	ENSG00000067836	Rogdi homolog	ElevBrain
RORB	"NR1F2, ROR-BETA, RZRB"	ENSG00000198963	RAR related orphan receptor B	ElevBrain
RPEL1		ENSG00000235376	Ribulose-5-phosphate-3-epimerase like 1	ElevBrain
RPH3A	"exophilin-1, KIAA0985, rabphilin"	ENSG00000089169	Rabphilin 3A	ElevBrain
RPRM	"FLJ90327, REPRIMO"	ENSG00000177519	"Reprimo, TP53 dependent G2 arrest mediator homolog"	ElevBrain
RPS6KL1	MGC11287	ENSG00000198208	Ribosomal protein S6 kinase like 1	ElevBrain
RSPH1	"CILD24, FLJ32753, RSP44, RSPH10A, TSGA2"	ENSG00000160188	Radial spoke head 1 homolog	ElevBrain
RSPH4A	"CILD11, dJ412I7.1, FLJ37974, RSHL3, RSPH6B"	ENSG00000111834	Radial spoke head 4 homolog A	ElevBrain
RSPO2	MGC35555	ENSG00000147655	R-spondin 2	ElevBrain
RSPO4	"C20orf182, dJ824F16.3"	ENSG00000101282	R-spondin 4	ElevBrain
RTN3	"ASYIP, HAP, NSPL2, NSPLII, RTN3-A1"	ENSG00000133318	Reticulon 3	ElevBrain
RTN4R	NOGOR	ENSG00000040608	Reticulon 4 receptor	ElevBrain
RTN4RL1	"DKFZp547J144, NgR3, NGRH2"	ENSG00000185924	Reticulon 4 receptor like 1	ElevBrain
RTP1	"MGC35450, Z3CXXC1"	ENSG00000175077	Receptor transporter protein 1	ElevBrain
RUFY3	"KIAA0871, RIPx, Singar1, ZFYVE30"	ENSG00000018189	RUN and FYVE domain containing 3	ElevBrain
RUNDC3B	"RPIB9, RPIP9"	ENSG00000105784	RUN domain containing 3B	ElevBrain
RXFP1	"LGR7, RXFPR1"	ENSG00000171509	Relaxin/insulin like family peptide receptor 1	ElevBrain
RXFP2	"GPR106, GREAT, INSL3R, LGR8, RXFPR2"	ENSG00000133105	Relaxin/insulin like family peptide receptor 2	ElevBrain
S1PR5	"Edg-8, EDG8"	ENSG00000180739	Sphingosine-1-phosphate receptor 5	ElevBrain
SALL1	"Hsal1, TBS, ZNF794"	ENSG00000103449	Spalt like transcription factor 1	ElevBrain
SALL2	"Hsal2, KIAA0360, ZNF795"	ENSG00000165821	Spalt like transcription factor 2	ElevBrain
SALL3	ZNF796	ENSG00000256463	Spalt like transcription factor 3	ElevBrain
SAMD10	C20orf136	ENSG00000130590	Sterile alpha motif domain containing 10	ElevBrain
SAPCD2	"C9orf140, p42.3"	ENSG00000186193	Suppressor APC domain containing 2	ElevBrain
SCAMP5	MGC24969	ENSG00000198794	Secretory carrier membrane protein 5	ElevBrain
SCART1	CD163c-alpha	ENSG00000214279	Scavenger receptor family member expressed on T cells 1	ElevBrain
SCG5	"7B2, SGNE1, SgV"	ENSG00000166922	Secretogranin V	ElevBrain
SCGN	"CALBL, DJ501N12.8, SECRET, SEGN"	ENSG00000079689	"Secretagogin, EF-hand calcium binding protein"	ElevBrain
SCIN	KIAA1905	ENSG00000006747	Scinderin	ElevBrain
SCN4B	LQT10	ENSG00000177098	Sodium voltage-gated channel beta subunit 4	ElevBrain
SCRG1	SCRG-1	ENSG00000164106	Stimulator of chondrogenesis 1	ElevBrain
SCRN1	KIAA0193	ENSG00000136193	Secernin 1	ElevBrain
SEC61A2	FLJ10578	ENSG00000065665	Sec61 translocon alpha 2 subunit	ElevBrain
SECISBP2L	KIAA0256	ENSG00000138593	SECIS binding protein 2 like	ElevBrain
SEMA4D	"C9orf164, CD100, coll-4, FLJ39737, SEMAJ"	ENSG00000187764	Semaphorin 4D	ElevBrain
SEMA5B	"FLJ10372, KIAA1445, SEMAG, SemG"	ENSG00000082684	Semaphorin 5B	ElevBrain
SEMA6A	"HT018, KIAA1368, SEMA, SEMA6A1, SEMAQ"	ENSG00000092421	Semaphorin 6A	ElevBrain
SEMA6B	"SEM-SEMA-Y, SEMA-VIB, SEMAN, semaZ"	ENSG00000167680	Semaphorin 6B	ElevBrain
SEMA7A	"CD108, H-Sema-L, SEMAL"	ENSG00000138623	Semaphorin 7A (John Milton Hagen blood group)	ElevBrain
SEPT4	"ARTS, CE5B3, H5, hCDCREL-2, hucep-7, MART, PNUTL2"	ENSG00000108387	Septin 4	ElevBrain
SEPT5	"H5, HCDCREL-1, PNUTL1"	ENSG00000184702	Septin 5	ElevBrain
SERP2	"bA269C23.1, C13orf21"	ENSG00000151778	Stress associated endoplasmic reticulum protein family member 2	ElevBrain
SERTM1	C13orf36	ENSG00000180440	Serine rich and transmembrane domain containing 1	ElevBrain
SEZ6L2	"FLJ90517, PSK-1"	ENSG00000174938	Seizure related 6 homolog like 2	ElevBrain
SFI1	"KIAA0542, PISD, PPP1R139"	ENSG00000198089	SFI1 centrin binding protein	ElevBrain
SFMBT2	KIAA1617	ENSG00000198879	Scm like with four mbt domains 2	ElevBrain
SFXN5	"BBG-TCC, SLC56A5"	ENSG00000144040	Sideroflexin 5	ElevBrain
SGIP1	DKFZp761D221	ENSG00000118473	SH3 domain GRB2 like endophilin interacting protein 1	ElevBrain
SGK2		ENSG00000101049	"SGK2, serine/threonine kinase 2"	ElevBrain
SGK494		ENSG00000167524	Uncharacterized serine/threonine-protein kinase SgK494	ElevBrain
SGSM1	"KIAA1941, RUTBC2"	ENSG00000167037	Small G protein signaling modulator 1	ElevBrain
SGTB	"FLJ39002, Sgt2"	ENSG00000197860	Small glutamine rich tetratricopeptide repeat containing beta	ElevBrain
SHANK2	"CORTBP1, CTTNBP1, ProSAP1, SHANK, SPANK-3"	ENSG00000162105	SH3 and multiple ankyrin repeat domains 2	ElevBrain
SHANK3	"KIAA1650, prosap2, PSAP2, SPANK-2"	ENSG00000251322	SH3 and multiple ankyrin repeat domains 3	ElevBrain
SHC3	"N-Shc, NSHC, SHCC"	ENSG00000148082	SHC adaptor protein 3	ElevBrain
SHC4	"RaLP, SHCD"	ENSG00000185634	SHC adaptor protein 4	ElevBrain
SHISA6	FLJ45455	ENSG00000188803	Shisa family member 6	ElevBrain
SHISA9		ENSG00000237515	Shisa family member 9	ElevBrain
SHISAL2B	FAM159B	ENSG00000145642	Shisa like 2B	ElevBrain
SHOX	"GCFX, PHOG, SHOXY, SS"	ENSG00000185960	Short stature homeobox	ElevBrain
SHROOM4	KIAA1202	ENSG00000158352	Shroom family member 4	ElevBrain
SHTN1	"KIAA1598, shootin-1, shootin1"	ENSG00000187164	Shootin 1	ElevBrain
SIAH3	FLJ39203	ENSG00000215475	Siah E3 ubiquitin protein ligase family member 3	ElevBrain
SIRPA	"BIT, CD172a, MFR, MYD-1, P84, PTPNS1, SHPS-1, SHPS1, SIRP, SIRP-ALPHA-1, SIRPalpha, SIRPalpha2"	ENSG00000198053	Signal regulatory protein alpha	ElevBrain
SIRT2	SIR2L	ENSG00000068903	Sirtuin 2	ElevBrain
SKI		ENSG00000157933	SKI proto-oncogene	ElevBrain
SLC10A4	MGC29802	ENSG00000145248	Solute carrier family 10 member 4	ElevBrain
SLC10A5		ENSG00000253598	Solute carrier family 10 member 5	ElevBrain
SLC12A8	CCC9	ENSG00000221955	Solute carrier family 12 member 8	ElevBrain
SLC18A2	"SVAT, SVMT, VMAT2"	ENSG00000165646	Solute carrier family 18 member A2	ElevBrain
SLC18A3	VACHT	ENSG00000187714	Solute carrier family 18 member A3	ElevBrain
SLC22A15	FLIPT1	ENSG00000163393	Solute carrier family 22 member 15	ElevBrain
SLC22A17	"BOCT, BOIT, NGALR"	ENSG00000092096	Solute carrier family 22 member 17	ElevBrain
SLC24A4	NCKX4	ENSG00000140090	Solute carrier family 24 member 4	ElevBrain
SLC25A22	"EIEE3, FLJ13044, GC1, NET44"	ENSG00000177542	Solute carrier family 25 member 22	ElevBrain
SLC25A23	"APC2, FLJ30339, MGC2615"	ENSG00000125648	Solute carrier family 25 member 23	ElevBrain
SLC25A48	"FLJ44862, HDMCP"	ENSG00000145832	Solute carrier family 25 member 48	ElevBrain
SLC2A13	HMIT	ENSG00000151229	Solute carrier family 2 member 13	ElevBrain
SLC2A6	"GLUT6, GLUT9, HSA011372"	ENSG00000160326	Solute carrier family 2 member 6	ElevBrain
SLC35D3	FRCL1	ENSG00000182747	Solute carrier family 35 member D3	ElevBrain
SLC35F3	FLJ37712	ENSG00000183780	Solute carrier family 35 member F3	ElevBrain
SLC36A1	"LYAAT-1, PAT1, TRAMD3"	ENSG00000123643	Solute carrier family 36 member 1	ElevBrain
SLC38A8		ENSG00000166558	Solute carrier family 38 member 8	ElevBrain
SLC39A10	"DKFZp564L2123, FLJ90515, KIAA1265"	ENSG00000196950	Solute carrier family 39 member 10	ElevBrain
SLC45A1	DNB5	ENSG00000162426	Solute carrier family 45 member 1	ElevBrain
SLC48A1	"FLJ20489, hHRG-1, HRG1"	ENSG00000211584	Solute carrier family 48 member 1	ElevBrain
SLC4A8	NBC3	ENSG00000050438	Solute carrier family 4 member 8	ElevBrain
SLC5A11	"KST1, SGLT6, SMIT2"	ENSG00000158865	Solute carrier family 5 member 11	ElevBrain
SLC6A15	"FLJ10316, hv7-3, NTT73, SBAT1, V7-3"	ENSG00000072041	Solute carrier family 6 member 15	ElevBrain
SLC6A9	GLYT1	ENSG00000196517	Solute carrier family 6 member 9	ElevBrain
SLC7A10	asc-1	ENSG00000130876	Solute carrier family 7 member 10	ElevBrain
SLC7A11	xCT	ENSG00000151012	Solute carrier family 7 member 11	ElevBrain
SLC9A5	NHE5	ENSG00000135740	Solute carrier family 9 member A5	ElevBrain
SLC9A6	"KIAA0267, NHE6"	ENSG00000198689	Solute carrier family 9 member A6	ElevBrain
SLC9A7	NHE7	ENSG00000065923	Solute carrier family 9 member A7	ElevBrain
SLCO1A2	"OATP, OATP-A, OATP1A2, SLC21A3"	ENSG00000084453	Solute carrier organic anion transporter family member 1A2	ElevBrain
SLITRK2	"CXorf1, CXorf2, KIAA1854, SLITL1, TMEM257"	ENSG00000185985	SLIT and NTRK like family member 2	ElevBrain
SLITRK3	KIAA0848	ENSG00000121871	SLIT and NTRK like family member 3	ElevBrain
SLITRK4	DKFZp547M2010	ENSG00000179542	SLIT and NTRK like family member 4	ElevBrain
SLITRK5	"bA364G4.2, KIAA0918, LRRC11"	ENSG00000165300	SLIT and NTRK like family member 5	ElevBrain
SLX4	"BTBD12, FANCP, KIAA1784, KIAA1987"	ENSG00000188827	SLX4 structure-specific endonuclease subunit	ElevBrain
SMIM10L2A	"LED, LINC00086, LINC0086, MGC39606, NCRNA00086"	ENSG00000178947	Small integral membrane protein 10 like 2A	ElevBrain
SMIM10L2B	"LINC00087, NCRNA00087, RP11-85L21.2"	ENSG00000196972	Small integral membrane protein 10 like 2B	ElevBrain
SMIM13	C6orf228	ENSG00000224531	Small integral membrane protein 13	ElevBrain
SMIM18		ENSG00000253457	Small integral membrane protein 18	ElevBrain
SMOC1		ENSG00000198732	SPARC related modular calcium binding 1	ElevBrain
SNCG	"BCSG1, persyn, SR"	ENSG00000173267	Synuclein gamma	ElevBrain
SNN		ENSG00000184602	Stannin	ElevBrain
SNORC	"ASCL830, C2orf82, UNQ830"	ENSG00000182600	Secondary ossification center associated regulator of chondrocyte maturation	ElevBrain
SNPH	bA314N13.5	ENSG00000101298	Syntaphilin	ElevBrain
SNURF		ENSG00000273173	SNRPN upstream reading frame	ElevBrain
SNX10		ENSG00000086300	Sorting nexin 10	ElevBrain
SNX22	FLJ13952	ENSG00000157734	Sorting nexin 22	ElevBrain
